name,startDate,endDate,rooms
2016 Pittcon Conference and Expo,42435,42439,"['Building A Registration Hall', ' Building A-B Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Halls B1-B5 Combined', ' International Lounge', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C301', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']"
Salvation Army Boys & Girls Clubs of Greater Atlanta (JA),42444,42444,['JA BizTown Pre-Function Area']
2016 IHG Town Hall,42445,42445,"['Executive Boardroom', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Lounge', ' Social Table', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2']"
Publix Georgia Marathon,42449,42449,['Entire Park']
Specialty Coffee Association of America,42474,42477,"['Building B-C Connector', ' Building C Connector Overlook', ' Exhibit Hall C1', ' Exhibit Hall Meeting Room C111-C114', ' Exhibit Halls C2-C3 Combined', ' Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105-C106', ' Meeting Room C107', ' Meeting Room C108-C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium', ' West Plaza']"
Sweetwater 420 Fest,42482,42484,"['Entire Park', ' Park Operations Boardroom']"
Beyonce - Formation World Tour,42491,42491,"[""Owner's Club"", ' Stadium']"
Family Feud,42493,42604,"['Exhibit Hall C3', ' Exhibit Hall C4', ' Hall C4 Show Office', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110']"
Georgia State University Commencement,42497,42497,['Arena East']
Shaky Knees,42503,42505,"['All North Park', ' Entire Park', ' International Plaza', ' Park Operations Boardroom']"
Shaky Beats,42510,42512,"['Entire Park', ' Park Operations Boardroom']"
Atlanta Independent School System Graduations,42513,42517,"['Building B Registration Hall', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B216-217', ' Meeting Room B403']"
MomoCon,42516,42520,"['Building A Registration Hall', ' Executive Boardroom', ' Exhibit Hall A1', ' Exhibit Halls A2-A3 Combined', ' International Conference Room', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Sidney Marcus Auditorium']"
Wednesday WindDown,42522,42522,['Southern Company Amphitheater']
Music @ Noon,42523,42523,['Southern Company Amphitheater']
Wednesday WindDown,42529,42529,['Southern Company Amphitheater']
Halt & Catch Fire Basecamp,42534,42536,['Marshalling Yard 1']
Wednesday WindDown,42536,42536,['Southern Company Amphitheater']
HOT 107.9 Birthday Bash Pre-Concert,42539,42539,['Southern Company Amphitheater']
Wednesday WindDown,42543,42543,['Southern Company Amphitheater']
