,Room Name,DateIn,DateOut
0,Exhibit Hall A1,2020/1/21,2020/2/3
1,Exhibit Hall A2,2020/1/21,2020/2/3
2,Exhibit Hall A3,2020/1/21,2020/2/3
40,Exhibit Hall B1,2020/1/21,2020/2/3
41,Exhibit Hall B2,2020/1/21,2020/2/3
42,Exhibit Hall B3,2020/1/21,2020/2/3
43,Exhibit Hall B4,2020/1/21,2020/2/3
44,Exhibit Hall B5,2020/1/21,2020/2/3
137,Georgia Ballroom 1,2020/1/21,2020/2/3
138,Georgia Ballroom 2,2020/1/21,2020/2/3
139,Georgia Ballroom 3,2020/1/21,2020/2/3
88,International Conference Room,2020/1/21,2020/2/3
6,Meeting Room A301,2020/1/21,2020/2/3
7,Meeting Room A302,2020/1/21,2020/2/3
8,Meeting Room A303,2020/1/21,2020/2/3
9,Meeting Room A304,2020/1/21,2020/2/3
10,Meeting Room A305,2020/1/21,2020/2/3
11,Meeting Room A306,2020/1/21,2020/2/3
12,Meeting Room A307,2020/1/21,2020/2/3
13,Meeting Room A308a,2020/1/21,2020/2/3
14,Meeting Room A308b,2020/1/21,2020/2/3
15,Meeting Room A309,2020/1/21,2020/2/3
16,Meeting Room A310,2020/1/21,2020/2/3
17,Meeting Room A311,2020/1/21,2020/2/3
18,Meeting Room A312,2020/1/21,2020/2/3
19,Meeting Room A313,2020/1/21,2020/2/3
20,Meeting Room A314,2020/1/21,2020/2/3
21,Meeting Room A315,2020/1/21,2020/2/3
22,Meeting Room A316,2020/1/21,2020/2/3
26,Meeting Room A401,2020/1/21,2020/2/3
27,Meeting Room A402,2020/1/21,2020/2/3
28,Meeting Room A403,2020/1/21,2020/2/3
29,Meeting Room A404,2020/1/21,2020/2/3
30,Meeting Room A405,2020/1/21,2020/2/3
31,Meeting Room A406,2020/1/21,2020/2/3
32,Meeting Room A407,2020/1/21,2020/2/3
33,Meeting Room A408,2020/1/21,2020/2/3
34,Meeting Room A409,2020/1/21,2020/2/3
35,Meeting Room A410,2020/1/21,2020/2/3
36,Meeting Room A411,2020/1/21,2020/2/3
37,Meeting Room A412,2020/1/21,2020/2/3
48,Meeting Room B201,2020/1/21,2020/2/3
49,Meeting Room B202,2020/1/21,2020/2/3
50,Meeting Room B203,2020/1/21,2020/2/3
51,Meeting Room B204,2020/1/21,2020/2/3
52,Meeting Room B205,2020/1/21,2020/2/3
53,Meeting Room B206,2020/1/21,2020/2/3
54,Meeting Room B207,2020/1/21,2020/2/3
55,Meeting Room B208,2020/1/21,2020/2/3
56,Meeting Room B209,2020/1/21,2020/2/3
57,Meeting Room B210,2020/1/21,2020/2/3
58,Meeting Room B211,2020/1/21,2020/2/3
59,Meeting Room B212,2020/1/21,2020/2/3
60,Meeting Room B213,2020/1/21,2020/2/3
61,Meeting Room B214,2020/1/21,2020/2/3
62,Meeting Room B215,2020/1/21,2020/2/3
63,Meeting Room B216,2020/1/21,2020/2/3
64,Meeting Room B217,2020/1/21,2020/2/3
65,Meeting Room B218,2020/1/21,2020/2/3
66,Meeting Room B301,2020/1/21,2020/2/3
67,Meeting Room B302,2020/1/21,2020/2/3
68,Meeting Room B303,2020/1/21,2020/2/3
69,Meeting Room B304,2020/1/21,2020/2/3
70,Meeting Room B305,2020/1/21,2020/2/3
71,Meeting Room B306,2020/1/21,2020/2/3
72,Meeting Room B307,2020/1/21,2020/2/3
73,Meeting Room B308,2020/1/21,2020/2/3
74,Meeting Room B309,2020/1/21,2020/2/3
75,Meeting Room B310,2020/1/21,2020/2/3
76,Meeting Room B311,2020/1/21,2020/2/3
77,Meeting Room B312,2020/1/21,2020/2/3
78,Meeting Room B313,2020/1/21,2020/2/3
81,Meeting Room B314,2020/1/21,2020/2/3
82,Meeting Room B315,2020/1/21,2020/2/3
83,Meeting Room B316,2020/1/21,2020/2/3
84,Meeting Room B317,2020/1/21,2020/2/3
85,Meeting Room B318,2020/1/21,2020/2/3
86,Meeting Room B319,2020/1/21,2020/2/3
89,Meeting Room B401,2020/1/21,2020/2/3
90,Meeting Room B402,2020/1/21,2020/2/3
91,Meeting Room B403,2020/1/21,2020/2/3
92,Meeting Room B404,2020/1/21,2020/2/3
93,Meeting Room B405,2020/1/21,2020/2/3
94,Meeting Room B406,2020/1/21,2020/2/3
97,Meeting Room B407,2020/1/21,2020/2/3
98,Meeting Room B408,2020/1/21,2020/2/3
