,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
140,4354303,110800.0,6399,6680.0,3,1462,0,4,0,0,30,0,0.0
142,303600,10000.0,40,0.0,1,36,0,0,1,0,0,0,0.0
138,2140000,117500.0,39483,1.0,1,1368,0,0,3,0,0,0,0.0
137,607200,9500.0,5856,0.0,1,149,0,0,1,0,0,0,0.0
135,501901,0.0,1650,0.0,3,376,0,3,0,0,21,0,210000.0
134,179974,15000.0,300,0.0,1,18,0,1,0,1,0,0,0.0
133,9086047,439810.0,68000,20000.0,2,1149,47,4,6,2,29,23,0.0
132,371000,18181.25,150,0.0,136,141,7,0,0,0,0,8,0.0
131,589088,37220.0,2000,0.0,2,278,0,2,0,0,23,0,80000.0
129,268500,18000.0,3000,0.0,2,473,0,0,1,0,0,0,0.0
128,3243745,181200.0,42865,3200.0,3,822,0,0,0,7,0,23,0.0
130,74973,9528.0,1700,1.0,1,362,0,0,0,0,3,0,0.0
127,1293519,45000.0,5777,0.0,3,112,5,0,1,0,0,0,0.0
126,551171,20425.0,4000,1.0,3,1372,0,1,0,0,5,0,0.0
125,213210,0.0,600,250.0,2,313,10,0,0,0,0,0,110000.0
124,1368111,18881.0,1429,0.0,6,603,0,1,0,0,4,0,0.0
123,135352,0.0,880,0.0,2,349,0,2,0,0,10,0,70000.0
122,962588,52000.0,24000,0.0,3,128,0,2,0,0,1,0,0.0
121,15781964,700000.0,31649,1.0,3,1334,47,1,5,9,30,22,0.0
120,1044175,124074.5,49340,1.0,1,1349,2,0,0,0,0,0,0.0
