,Event ID,Description,Cluster,Demand,PM
153,14400,Tri-Cities High School Class of 2017,CHRTY_GRAD,2,0.097931032
154,12650,Georgia Piedmont Technical College,CHRTY_GRAD,2,0.191040114
155,13985,Creekside High School Graduation,CHRTY_GRAD,2,-0.009135995
156,14704,Langston Hughes Graduation,CHRTY_GRAD,2,0.163100055
157,5106,Association for Talent Development,CONV,2,0.194653749
158,13252,DeKalb County School Graduations,CHRTY_GRAD,2,0.185364379
159,13422,Atlanta Independent School System Graduations,CHRTY_GRAD,2,0.15620399
160,15745,ezFood Fest,SMALL,1,0.198430311
161,7179,MomoCon,CONV,2,0.177529484
162,14177,Southeast Regional Championships,COMP,1,0.164294775
163,15257,CDC Center for Global Health 2017 Annual Meeting,SMALL,1,0.177201015
164,11593,CFA Institute,MEET,2,0.161247112
165,14059,CrossFit Games Atlantic Regional,COMP,1,0.161832398
166,6371,Savannah College of Art and Design Graduation,CHRTY_GRAD,1,0.178953201
167,13304,The Ultimate Women's Expo,PUB,1,0.159179377
168,14295,2017 Southern Pole & Aerial Championships,COMP,1,0.167053127
169,14821,73rd Annual Churches of Christ National Lectureship Festival in the Park and College Fair,SMALL,2,0.196182739
170,15247,GMC-Fairburn  Graduation,CHRTY_GRAD,1,0.198705677
171,15863,Omni Hotel at CNN Center,MEET,2,0.196347265
172,13459,Home Furnishings Manufacturing Solutions Expo,CONV,1,0.172129755
173,15146,Water & Sanitation Rotarian Action Group,MEET,2,0.189962774
174,16006,Aqua Azul,FILM_AWC,2,0.188497634
175,6005,Rotary International,CONV,1,0.167769928
176,10866,Forest Products 2017,CONV,1,0.182002996
177,14725,Herzing University Graduation,CHRTY_GRAD,1,0.147381854
178,9177,National Association for Surface Finishing,CONV,1,0.16861044
179,5367,National Apartment Association,CONV,1,0.190157614
180,15997,DBE/SmallBusiness Outreach,MEET,2,0.198511615
181,16053,Holder Construction Company Luncheon,ME_OTH,1,0.190540692
182,15350,National Step League Championships 2017,COMP,1,0.191244404
183,15723,Georgia Hotel Lodging Association Forecasting Meeting and HotelFest,ME_OTH,1,0.008691226
184,14021,Solution Tree,MEET,2,0.135546115
185,14263,USAW Kids National 2017,COMP,1,0.151752625
186,15582,Fern/Gift Show,CON_P,2,0.198233488
187,6588,Peachtree Health & Fitness Expo,PUB,2,0.171694417
188,5851,School Nutrition Association 2017 Annual National Conference,CONV,1,0.178253006
189,15033,Atlanta Build Expo,CONV,1,0.157093608
190,14611,American InterContinental University Graduation,CHRTY_GRAD,1,0.1834498
191,15868,AMBSE Hiring and Training Session FY18,MEET,1,0.195957097
192,10735,2017 NPC Georgia Bodybuilding and Figure Championships,COMP,1,0.191839318
193,13790,V-103 Car and Bike Show,PUB,2,0.168772279
194,13576,The Big Event 2017,MEET,1,0.134137484
195,13253,Insight Global Summer Olympics,SMALL,1,0.196472649
196,14208,DreamHack Atlanta,COMP,1,0.176570251
197,15644,Acura TLX Precision Crafted Training,SMALL,1,0.195265477
198,15769,Fulton County Schools,SMALL,1,0.185498472
199,15550,Year Up Greater Atlanta,CHRTY_GRAD,1,0.073095677
200,12008,Junior World Champions,COMP,1,0.184131442
201,15367,Atlanta Independent School System Graduation,CHRTY_GRAD,1,0.190073028
202,16220,MacGyver,FILM_AWC,1,0.192540494
203,14788,APS Back-to-School Bash,ME_OTH,0,0.179123663
204,5148,International Association of Identification,CONV,0,0.13948743
205,12480,Shaklee,CONV,0,0.164496079
206,15881,2017 Hunger Project,ME_OTH,1,0.170811501
207,16017,Dell Inc. - Tech Summit,CONV,0,0.19064174
