,Event ID,Description,Start Date,End Date,Status,Type,Booked Spaces,Firm (Booked Date),Forecast Attendance,Actual Attendance (Attendee + Exhibitor),In Date,Out Date,Booking Entered On (Client Contact Date),SQFT per Event,F&B Minimum Per Contract:,Total Room Nights,Ordered Rent Total,eventDuration,bookingTillStart,contactTillStart,totalEventDuration,startDoW,endDoW,isWeekend,isHoliday,isHolidayTotal,isStadium,Frequency,Recur (Y/N),O,U,P-A,P-B,P-C,M-A2,E-A3,E-A1,E-A2,E-B1,E-B2,E-B3,E-C1,M-A5,M-B2,M-C4,BA-C,M-A1,P,M-A4,M-A3,M-B3,M-B4,M-B1,M-B5,M-C1,M-C2,M-C3,BA-A,BA-B,Expense
377,6937,IAVM - Convention Center Conference,42278,2015/10/3,Confirmed (56),CONF,"['Executive Boardroom', ' International Conference Room', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Southern Company Amphitheater', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",41526,250,250,42275,2015/10/3,41512,290731,15000,1,0,3,752,766,6,3,5,1,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,10,nomatch
378,9822,Four Pillar Tribute,42278,2015/10/1,Confirmed (56),REC,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Patio', ' Meeting Room C301', ' Meeting Room C302']",42075,700,1100,42278,2015/10/2,41927,69116,40000,1,0,1,203,351,2,3,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,nomatch
379,11198,Falcons Landing- Atlanta Falcons vs Houston Texans,42279,2015/10/4,Confirmed (56),PRTY,['International Plaza'],42174,2000,0,42279,2015/10/4,42129,283170,,,0,3,105,150,3,4,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
380,11678,Falcons Career Fair,42279,2015/10/2,Confirmed (56),JF,"['Club Landing B', ' Club Lounge North', ' Gate B']",42272,200,850,42279,2015/10/2,42199,0,,,0,1,7,80,1,4,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,nomatch
381,5699,Georgia State University vs. Liberty,42280,2015/10/3,Confirmed (56),GAM,"[""Owner's Club"", ' Stadium', ' West Plaza']",42065,5000,6182,42280,2015/10/3,41411,48000,0,1,0,1,215,869,1,5,5,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
382,11273,GC4W Atlanta Working Mom Business Expo,42280,2015/10/3,Confirmed (56),EXH,"['Meeting Room A311-A312', ' Meeting Room A313']",42142,200,50,42280,2015/10/3,42137,7668,,,1500,1,138,143,1,5,5,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
383,5564,Atlanta Falcons vs. Houston Texans,42281,2015/10/4,Confirmed (56),GAM,"['Blue Lot', ' Gold Deck', ' Gold Deck Turnaround', ' Purple Lot', ' Silver Lot', ' Stadium']",42116,65000,62204,42279,2015/10/4,41408,0,0,1,0,1,165,873,3,6,6,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
384,10054,Foo Fighters Concert,42281,2015/10/4,Confirmed (56),CON,['Entire Park'],41962,22000,19793,42274,2015/10/6,41960,0,0,1,5000,1,319,321,10,6,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,11833,Atlanta Falcons- MLK Band Holding,42281,2015/10/4,Confirmed (56),OTH,['Meeting Room C202-C204'],42229,250,200,42281,2015/10/4,42216,5326,,,800,1,52,65,1,6,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,nomatch
386,11984,Anheuser-Busch Southeast Better World Kick Off/Habitat Build,42282,2015/10/5,Confirmed (56),OTH,['East Plaza'],42257,50,300,42282,2015/10/5,42237,49451,,,1500,1,25,45,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
387,5273,American Nurses Credentialing Center,42284,2015/10/9,Confirmed (56),CONV,"['Building B Registration Hall', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Exhibit Halls B1-B2 Combined', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4']",41362,8000,9300,42280,2015/10/10,41362,6106361,500000,17245,147000,3,922,922,8,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,1,2,0,0,3,0,0,0,1,0,0,24,11,6,3,0,0,0,0,1,nomatch
